red,blue,score
"['[U:1:1241493147]', '[U:1:914240935]', '[U:1:105013257]', '[U:1:350058571]', '[U:1:485271219]', '[U:1:126226938]']","['[U:1:155227384]', '[U:1:402718118]', '[U:1:163785388]', '[U:1:352052370]', '[U:1:117579832]', '[U:1:17011247]']","[2, 2]"
"['[U:1:246241288]', '[U:1:1014322073]', '[U:1:1094264912]', '[U:1:361612154]', '[U:1:307757367]', '[U:1:1007792924]']","['[U:1:94683089]', '[U:1:247861908]', '[U:1:1258031600]', '[U:1:1278657853]', '[U:1:919085644]', '[U:1:155136833]']","[0, 5]"
"['[U:1:402718118]', '[U:1:1014322073]', '[U:1:117579832]', '[U:1:1278657853]', '[U:1:173604068]', '[U:1:1094264912]']","['[U:1:247861908]', '[U:1:361612154]', '[U:1:1007792924]', '[U:1:107304716]', '[U:1:163785388]', '[U:1:166359895]']","[1, 4]"
"['[U:1:207531281]', '[U:1:919085644]', '[U:1:296417871]', '[U:1:94683089]', '[U:1:107304716]', '[U:1:1007792924]']","['[U:1:139248838]', '[U:1:307757367]', '[U:1:173604068]', '[U:1:1258031600]', '[U:1:155136833]', '[U:1:409701962]']","[2, 3]"
"['[U:1:1007792924]', '[U:1:139248838]', '[U:1:919085644]', '[U:1:155136833]', '[U:1:409701962]', '[U:1:904306638]']","['[U:1:402718118]', '[U:1:1258031600]', '[U:1:166359895]', '[U:1:296417871]', '[U:1:207531281]', '[U:1:173604068]']","[1, 5]"
"['[U:1:107304716]', '[U:1:990182760]', '[U:1:468494252]', '[U:1:288196026]', '[U:1:117579832]', '[U:1:184444257]']","['[U:1:1094264912]', '[U:1:317981219]', '[U:1:130967711]', '[U:1:914240935]', '[U:1:103352915]', '[U:1:302544351]']","[1, 1]"
"['[U:1:990182760]', '[U:1:1006223251]', '[U:1:107304716]', '[U:1:130967711]', '[U:1:468494252]', '[U:1:296417871]']","['[U:1:155227384]', '[U:1:314449381]', '[U:1:904306638]', '[U:1:1007792924]', '[U:1:919085644]', '[U:1:69039125]']","[1, 4]"
"['[U:1:453856590]', '[U:1:990182760]', '[U:1:155227384]', '[U:1:118938526]', '[U:1:184444257]', '[U:1:361202567]']","['[U:1:314449381]', '[U:1:1007792924]', '[U:1:302544351]', '[U:1:296417871]', '[U:1:914240935]', '[U:1:1278657853]']","[3, 1]"
"['[U:1:288196026]', '[U:1:155227384]', '[U:1:118938526]', '[U:1:69039125]', '[U:1:296417871]', '[U:1:990182760]']","['[U:1:314449381]', '[U:1:302544351]', '[U:1:1110603288]', '[U:1:350058571]', '[U:1:1278657853]', '[U:1:919085644]']","[5, 1]"
"['[U:1:288196026]', '[U:1:1110603288]', '[U:1:296417871]', '[U:1:302544351]', '[U:1:932435543]', '[U:1:118938526]']","['[U:1:155227384]', '[U:1:1108040484]', '[U:1:350058571]', '[U:1:914240935]', '[U:1:1278657853]', '[U:1:361612154]']","[5, 2]"
"['[U:1:155227384]', '[U:1:932435543]', '[U:1:176300678]', '[U:1:914240935]', '[U:1:978148563]', '[U:1:125098066]']","['[U:1:348298348]', '[U:1:288196026]', '[U:1:317981219]', '[U:1:1108040484]', '[U:1:350058571]', '[U:1:1112981307]']","[3, 1]"
"['[U:1:317981219]', '[U:1:17011247]', '[U:1:312713985]', '[U:1:95707166]', '[U:1:919085644]', '[U:1:409701962]']","['[U:1:121079858]', '[U:1:213858425]', '[U:1:888444385]', '[U:1:468494252]', '[U:1:167374185]', '[U:1:217627615]']","[4, 1]"
"['[U:1:1280960540]', '[U:1:168737276]', '[U:1:207531281]', '[U:1:138808374]', '[U:1:276784124]', '[U:1:1034495755]']","['[U:1:95372503]', '[U:1:314449381]', '[U:1:932435543]', '[U:1:409701962]', '[U:1:1107660127]', '[U:1:166359895]']","[1, 3]"
"['[U:1:121079858]', '[U:1:1280960540]', '[U:1:409701962]', '[U:1:138808374]', '[U:1:128740470]', '[U:1:361612154]']","['[U:1:314449381]', '[U:1:207531281]', '[U:1:312713985]', '[U:1:95707166]', '[U:1:219622414]', '[U:1:302544351]']","[2, 1]"
"['[U:1:100437460]', '[U:1:121079858]', '[U:1:361202567]', '[U:1:1229126044]', '[U:1:352052370]', '[U:1:183962091]']","['[U:1:156501558]', '[U:1:1258031600]', '[U:1:1278657853]', '[U:1:52815207]', '[U:1:1157668793]', '[U:1:485271219]']","[3, 1]"
"['[U:1:100437460]', '[U:1:121079858]', '[U:1:361202567]', '[U:1:1229126044]', '[U:1:352052370]', '[U:1:183962091]']","['[U:1:156501558]', '[U:1:1258031600]', '[U:1:1278657853]', '[U:1:52815207]', '[U:1:1157668793]', '[U:1:485271219]']","[3, 1]"
"['[U:1:402718118]', '[U:1:1157668793]', '[U:1:229398251]', '[U:1:139248838]', '[U:1:246241288]', '[U:1:485271219]']","['[U:1:98528050]', '[U:1:156501558]', '[U:1:155227384]', '[U:1:73086130]', '[U:1:183962091]', '[U:1:166359895]']","[0, 3]"
"['[U:1:139248838]', '[U:1:229398251]', '[U:1:1207021770]', '[U:1:73086130]', '[U:1:52815207]', '[U:1:361612154]']","['[U:1:288196026]', '[U:1:98528050]', '[U:1:402718118]', '[U:1:155227384]', '[U:1:909759820]', '[U:1:485271219]']","[4, 2]"
"['[U:1:166359895]', '[U:1:402718118]', '[U:1:296417871]', '[U:1:409701962]', '[U:1:199442446]', '[U:1:155227384]']","['[U:1:183962091]', '[U:1:98528050]', '[U:1:919085644]', '[U:1:133515365]', '[U:1:1110603288]', '[U:1:909759820]']","[3, 3]"
"['[U:1:893485704]', '[U:1:229398251]', '[U:1:235452183]', '[U:1:44079783]', '[U:1:95707166]', '[U:1:409701962]']","['[U:1:103352915]', '[U:1:324620866]', '[U:1:183962091]', '[U:1:209647313]', '[U:1:914240935]', '[U:1:909759820]']","[0, 4]"
"['[U:1:44079783]', '[U:1:1258031600]', '[U:1:893485704]', '[U:1:485271219]', '[U:1:118938526]', '[U:1:317981219]']","['[U:1:1107660127]', '[U:1:229398251]', '[U:1:117579832]', '[U:1:103352915]', '[U:1:409701962]', '[U:1:188567767]']","[5, 0]"
"['[U:1:1258031600]', '[U:1:229398251]', '[U:1:893485704]', '[U:1:317981219]', '[U:1:485271219]', '[U:1:1278657853]']","['[U:1:188567767]', '[U:1:103352915]', '[U:1:118938526]', '[U:1:168737276]', '[U:1:409701962]', '[U:1:95707166]']","[5, 0]"
"['[U:1:453856590]', '[U:1:317981219]', '[U:1:489591700]', '[U:1:166359895]', '[U:1:95707166]', '[U:1:1157668793]']","['[U:1:168737276]', '[U:1:457489636]', '[U:1:1258031600]', '[U:1:1278657853]', '[U:1:485271219]', '[U:1:307757367]']","[5, 0]"
"['[U:1:302544351]', '[U:1:1229126044]', '[U:1:62591040]', '[U:1:183962091]', '[U:1:1050919710]', '[U:1:73086130]']","['[U:1:457489636]', '[U:1:932435543]', '[U:1:438002921]', '[U:1:1157668793]', '[U:1:95707166]', '[U:1:1108040484]']","[5, 0]"
"['[U:1:17011247]', '[U:1:168737276]', '[U:1:430849763]', '[U:1:1229126044]', '[U:1:1050919710]', '[U:1:296417871]']","['[U:1:95372503]', '[U:1:183962091]', '[U:1:485271219]', '[U:1:1034495755]', '[U:1:128740470]', '[U:1:95707166]']","[4, 1]"
"['[U:1:84980776]', '[U:1:125098066]', '[U:1:173464252]', '[U:1:409701962]', '[U:1:314449381]', '[U:1:307757367]', '[U:1:118938526]']","['[U:1:438002921]', '[U:1:198377443]', '[U:1:317981219]', '[U:1:1269167570]', '[U:1:1278657853]', '[U:1:350058571]', '[U:1:914240935]']","[2, 3]"
"['[U:1:312713985]', '[U:1:131400746]', '[U:1:1007792924]', '[U:1:207531281]', '[U:1:1057488316]', '[U:1:118938526]', '[U:1:1108040484]']","['[U:1:86972215]', '[U:1:289877780]', '[U:1:229398251]', '[U:1:116428232]', '[U:1:156501558]', '[U:1:158731565]']","[0, 4]"
"['[U:1:1290056453]', '[U:1:246241288]', '[U:1:361612154]', '[U:1:121705589]', '[U:1:155227384]', '[U:1:183962091]']","['[U:1:1207021770]', '[U:1:198377443]', '[U:1:288196026]', '[U:1:84980776]', '[U:1:62591040]', '[U:1:157883802]', '[U:1:402718118]']","[0, 3]"
"['[U:1:1108040484]', '[U:1:117579832]', '[U:1:1052789333]', '[U:1:1057488316]', '[U:1:229398251]', '[U:1:158731565]']","['[U:1:402718118]', '[U:1:156501558]', '[U:1:131400746]', '[U:1:86972215]', '[U:1:1007792924]', '[U:1:321734144]']","[0, 5]"
"['[U:1:131400746]', '[U:1:86972215]', '[U:1:155227384]', '[U:1:52815207]', '[U:1:428241817]', '[U:1:213858425]']","['[U:1:288196026]', '[U:1:402718118]', '[U:1:1052789333]', '[U:1:84980776]', '[U:1:1290056453]', '[U:1:116428232]']","[4, 0]"
